"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Almindelig personbil";9;7;4
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Taxi";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Køretøj 0-3.500 kg under udrykning";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Varebil 0-3.500 kg.";0;1;0
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Lastbil over 3.500 kg.";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Bus";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Motorcykel";1;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Knallert 45";0;1;0
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Knallert";8;9;3
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Cykel";16;12;19
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Fodgænger";9;10;18
"Mænd";"0-17 år";"Personskade i alt";"Region Hovedstaden";"Andre";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Almindelig personbil";3;6;8
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Taxi";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Køretøj 0-3.500 kg under udrykning";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Varebil 0-3.500 kg.";2;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Lastbil over 3.500 kg.";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Bus";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Motorcykel";1;1;0
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Knallert 45";3;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Knallert";17;12;9
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Cykel";7;5;7
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Fodgænger";4;3;9
"Mænd";"0-17 år";"Personskade i alt";"Region Sjælland";"Andre";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Almindelig personbil";10;2;9
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Taxi";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Køretøj 0-3.500 kg under udrykning";0;0;0
"Mænd";"0-17 år";"Personskade i alt";"Region Syddanmark";"Varebil 0-3.500 kg.";0;0;0
